Name,Location,Category,Day,Notes
🏛 Warsaw Uprising Museum,"Muzeum Powstania Warszawskiego, Grzybowska 79, Warszawa, Poland",🏛 Museum,Thu 13 (planned),"Free on Thursday. Go early, queues."
🏛 POLIN Museum,"POLIN Museum of the History of Polish Jews, Mordechaja Anielewicza 6, Warszawa, Poland",🏛 Museum,,
🏛 Copernicus Science Centre + Planetarium,"Centrum Nauki Kopernik, Wybrzeze Kosciuszkowskie 20, Warszawa, Poland",🏛 Museum,Thu 13 (planned),Planetarium needs a separate booked slot: bilety.kopernik.org.pl
🏛 Mausoleum of Struggle and Martyrdom,"Mauzoleum Walki i Meczenstwa, al. Jana Chrystiana Szucha 25, Warszawa, Poland",🏛 Museum,Fri 14 (planned),Open Wed to Sun only.
🏛 Geological Museum (free),"Muzeum Geologiczne PIG-PIB, Rakowiecka 4, Warszawa, Poland",🏛 Museum,,"Free entry. Entrance from ul. Wisniowa. Sun 10:00-15:00, weekdays 09:00-17:30."
🏛 Wilanow Palace,"Muzeum Palacu Krola Jana III w Wilanowie, Stanislawa Kostki Potockiego 10/16, Warszawa, Poland",🏛 Museum,,Far south. Only if there is time.
🏛 Warsaw Citadel military zone,"Cytadela Warszawska, ul. Gwardii 4, Warszawa, Poland",🏛 Museum,Sat 15 (planned),Parade day displays and concerts.
🌳 Lazienki Royal Baths Park,"Lazienki Krolewskie, Agrykola 1, Warszawa, Poland",🌳 Outdoor,Fri 14 (planned),Peacocks. Palace on the Isle shuts 18:00.
🌳 BUW rooftop garden,"Biblioteka Uniwersytecka w Warszawie, Dobra 56/66, Warszawa, Poland",🌳 Outdoor,Thu 13 (planned),Free. Gates shut 20:00 sharp.
🌳 Vistula boulevards (Powisle side),"Bulwary Wislane, Warszawa, Poland",🌳 Outdoor,Thu 13 (planned),Container cafes and bars. Sunset walk.
🌳 Plaza Rusalka (Praga riverbank),"Plaza Rusalka, Warszawa, Poland",🌳 Outdoor,Sat 15 (planned),"Wild bank, Old Town skyline opposite."
🌳 Park Skaryszewski (free kayaks),"Wypozyczalnia kajakow, Jeziorko Kamionkowskie, Park Skaryszewski, Warszawa, Poland",🌳 Outdoor,,"Free two-person kayaks by the KS Drukarz club, July and August. Mon-Fri 13:00-19:00, Sat-Sun 12:00-19:00. Max 60 min. Book at kajakiparkskaryszewski.pl or walk up."
"🌳 Parade spot, Wislostrada by the Citadel","Wislostrada przy Cytadeli, Warszawa, Poland",🌳 Outdoor,Sat 15 (planned),Parade starts 12:00. Take the metro.
🌳 Hala Mirowska / Hala Gwardii,"Hala Mirowska, Plac Mirowski 1, Warszawa, Poland",🌳 Outdoor,Thu 13 (planned),Market. Food stalls in Hala Gwardii next door.
🥐 Bulke przez Bibulke,"Bulke przez Bibulke, Zurawia 6/12, Warszawa, Poland",🥐 Cafe & bakery,Thu 13 (planned),Nearest of four branches to the flat. Opens 07:30.
🥐 Lubaszka (paczki),"Piekarnia Lubaszka, Senatorska 24, Warszawa, Poland",🥐 Cafe & bakery,,"Best match for ""Lubaszki"": the Lubaszka bakery chain. Senatorska 24 is the central branch. Confirm this is the one you meant."
🥐 QQ Warsaw,"QQ Warsaw, Zurawia 32, Warszawa, Poland",🥐 Cafe & bakery,Fri 14 (planned),"Korean toast and matcha. Room 56, inside the building. Opens 11:00."
🥐 Happa to Mame,"Happa to Mame, Hoza 43/49, Warszawa, Poland",🥐 Cafe & bakery,,Matcha and handmade wagashi.
🥐 Manekin,"Manekin, Plac Konstytucji 5, Warszawa, Poland",🥐 Cafe & bakery,Sat 15 (planned),Crepe-style pancakes. Breakfast 09:00 to 12:00.
🍽 Stary Dom,"Stary Dom, Pulawska 104/106 lokal 65, Warszawa, Poland",🍽 Restaurant,Fri 14 (planned),Traditional Polish. BOOK A TABLE. Open 12:00-23:30 daily.
🍽 Soul Kitchen,"Soul Kitchen, Nowogrodzka 18A, Warszawa, Poland",🍽 Restaurant,,Modern Polish. Five minutes from the flat.
🍽 Syrena Irena,"Syrena Irena, Krakowskie Przedmiescie 4/6, Warszawa, Poland",🍽 Restaurant,,Pierogi. Corner of Obozna.
🍽 Gospoda Kwiaty Polskie,"Gospoda Kwiaty Polskie, Waski Dunaj 4/6/8, Warszawa, Poland",🍽 Restaurant,,"Polish. Old Town side street, near the Barbican."
🍽 Pyzy Flaki Gorace,"Pyzy Flaki Gorace, Brzeska 29/31, Warszawa, Poland",🍽 Restaurant,Sat 15 (planned),"Number 29/31, not 32. Pyzy in jars. Second branch at Podwale 5 in the Old Town."
🍽 Primitivo Kuchnia i Wino,"Primitivo Kuchnia i Wino, Walicow 13, Warszawa, Poland",🍽 Restaurant,,Mediterranean. Birthday option. Corner of Grzybowska.
🍽 Arigator Ramen Shop,"Arigator Ramen Shop, Piekna 54, Warszawa, Poland",🍽 Restaurant,,"No reservations, bar seating only. 13:00-16:00 and 17:00-22:00."
🍷 Alewino,"Alewino, Mokotowska 48, Warszawa, Poland",🍷 Wine,,Michelin Bib Gourmand. Entrance through the courtyard gate. Closed Sun and Mon.
🍷 Winnice Moldawii,"Winnice Moldawii, Czarnieckiego 63A, Warszawa, Poland",🍷 Wine,,"Moldovan, Romanian and Georgian wine. Zoliborz, north of the centre."
🍷 Niewinnosc wine bar,"Niewinnosc Wine Bar, Zgoda 5, Warszawa, Poland",🍷 Wine,,Wine bar. One location: Zgoda 5.
🍸 Aura,"AURA bar, Hoza 27, Warszawa, Poland",🍸 Cocktails,,Moroccan-style room. Bourbon-heavy cocktail list.
🍸 El Koktel,"El Koktel, Wojciecha Gorskiego 9, Warszawa, Poland",🍸 Cocktails,Fri 14 (planned),Ring the doorbell. Closed Sun and Mon. Book ahead.
🍸 Backroom Bar,"BackRoom Bar, Koszykowa 49A, Warszawa, Poland",🍸 Cocktails,,"Behind a black door, set back from the street. Closed Sun and Mon."
🍸 Feliks Bar Cafe,"Feliks Bar Cafe, Nowogrodzka 15, Warszawa, Poland",🍸 Cocktails,Thu 13 (planned),Corner of Nowogrodzka and Krucza. Closed Monday. Fri-Sat till 02:00.
🛍 Refitted (vintage),"Refitted, Wspolna 27, Warszawa, Poland",🛍 Shop,,Vintage designer streetwear. Mon-Sat 11:00-19:00.
🛍 Nostalgia Praga (vintage),"Nostalgia Vintage Shop, 11 Listopada 24, Warszawa, Poland",🛍 Shop,Sat 15 (planned),"Tue-Sat 12:00-18:00, Sun 12:00-16:00. Trading-ban risk on the holiday, check Instagram."
🛍 Thebooks.pl,"Thebooks.pl, Pulawska 134A, Warszawa, Poland",🛍 Shop,Fri 14 (planned),"English books. Mon-Fri 11:00-19:30, Sat 10:00-18:30, closed Sunday."
🏠 FLAT (base),"Krucza 19/43, Warszawa, Poland",🏠 Base,,Home base.
